index,year,s&p_closing_prices,real_us_gdp,s&p_eps,average_10y_yield,average_annual_inflation
7572,2009,931.799988,15208834,60.92,3.26,-0.4
7573,2009,927.450012,15208834,60.92,3.26,-0.4
7574,2009,934.700012,15208834,60.92,3.26,-0.4
7575,2009,906.650024,15208834,60.92,3.26,-0.4
7576,2009,909.72998,15208834,60.92,3.26,-0.4
7577,2009,890.349976,15208834,60.92,3.26,-0.4
7578,2009,870.26001,15208834,60.92,3.26,-0.4
7579,2009,871.789978,15208834,60.92,3.26,-0.4
7580,2009,842.619995,15208834,60.92,3.26,-0.4
7581,2009,843.73999,15208834,60.92,3.26,-0.4
7582,2009,850.119995,15208834,60.92,3.26,-0.4
7583,2009,805.219971,15208834,60.92,3.26,-0.4
7584,2009,840.23999,15208834,60.92,3.26,-0.4
7585,2009,827.5,15208834,60.92,3.26,-0.4
7586,2009,831.950012,15208834,60.92,3.26,-0.4
7587,2009,836.570007,15208834,60.92,3.26,-0.4
7588,2009,845.710022,15208834,60.92,3.26,-0.4
7589,2009,874.090027,15208834,60.92,3.26,-0.4
7590,2009,845.140015,15208834,60.92,3.26,-0.4
7591,2009,825.880005,15208834,60.92,3.26,-0.4
7592,2009,825.440002,15208834,60.92,3.26,-0.4
7593,2009,838.51001,15208834,60.92,3.26,-0.4
7594,2009,832.22998,15208834,60.92,3.26,-0.4
7595,2009,845.849976,15208834,60.92,3.26,-0.4
7596,2009,868.599976,15208834,60.92,3.26,-0.4
7597,2009,869.890015,15208834,60.92,3.26,-0.4
7598,2009,827.159973,15208834,60.92,3.26,-0.4
7599,2009,833.73999,15208834,60.92,3.26,-0.4
7600,2009,835.190002,15208834,60.92,3.26,-0.4
7601,2009,826.840027,15208834,60.92,3.26,-0.4
7602,2009,789.169983,15208834,60.92,3.26,-0.4
7603,2009,788.419983,15208834,60.92,3.26,-0.4
7604,2009,778.940002,15208834,60.92,3.26,-0.4
7605,2009,770.049988,15208834,60.92,3.26,-0.4
7606,2009,743.330017,15208834,60.92,3.26,-0.4
7607,2009,773.140015,15208834,60.92,3.26,-0.4
7608,2009,764.900024,15208834,60.92,3.26,-0.4
7609,2009,752.830017,15208834,60.92,3.26,-0.4
7610,2009,735.090027,15208834,60.92,3.26,-0.4
7611,2009,700.820007,15208834,60.92,3.26,-0.4
7612,2009,696.330017,15208834,60.92,3.26,-0.4
7613,2009,712.869995,15208834,60.92,3.26,-0.4
7614,2009,682.549988,15208834,60.92,3.26,-0.4
7615,2009,683.380005,15208834,60.92,3.26,-0.4
7616,2009,676.530029,15208834,60.92,3.26,-0.4
7617,2009,719.599976,15208834,60.92,3.26,-0.4
7618,2009,721.359985,15208834,60.92,3.26,-0.4
7619,2009,750.73999,15208834,60.92,3.26,-0.4
7620,2009,756.549988,15208834,60.92,3.26,-0.4
7621,2009,753.890015,15208834,60.92,3.26,-0.4
7622,2009,778.119995,15208834,60.92,3.26,-0.4
7623,2009,794.349976,15208834,60.92,3.26,-0.4
7624,2009,784.039978,15208834,60.92,3.26,-0.4
7625,2009,768.539978,15208834,60.92,3.26,-0.4
7626,2009,822.919983,15208834,60.92,3.26,-0.4
7627,2009,806.119995,15208834,60.92,3.26,-0.4
7628,2009,813.880005,15208834,60.92,3.26,-0.4
7629,2009,832.859985,15208834,60.92,3.26,-0.4
7630,2009,815.940002,15208834,60.92,3.26,-0.4
7631,2009,787.530029,15208834,60.92,3.26,-0.4
7632,2009,797.869995,15208834,60.92,3.26,-0.4
7633,2009,811.080017,15208834,60.92,3.26,-0.4
7634,2009,834.380005,15208834,60.92,3.26,-0.4
7635,2009,842.5,15208834,60.92,3.26,-0.4
7636,2009,835.47998,15208834,60.92,3.26,-0.4
7637,2009,815.549988,15208834,60.92,3.26,-0.4
7638,2009,825.159973,15208834,60.92,3.26,-0.4
7639,2009,856.559998,15208834,60.92,3.26,-0.4
7640,2009,858.72998,15208834,60.92,3.26,-0.4
7641,2009,841.5,15208834,60.92,3.26,-0.4
7642,2009,852.059998,15208834,60.92,3.26,-0.4
7643,2009,865.299988,15208834,60.92,3.26,-0.4
7644,2009,869.599976,15208834,60.92,3.26,-0.4
7645,2009,832.390015,15208834,60.92,3.26,-0.4
7646,2009,850.080017,15208834,60.92,3.26,-0.4
7647,2009,843.549988,15208834,60.92,3.26,-0.4
7648,2009,851.919983,15208834,60.92,3.26,-0.4
7649,2009,866.22998,15208834,60.92,3.26,-0.4
7650,2009,857.51001,15208834,60.92,3.26,-0.4
7651,2009,855.159973,15208834,60.92,3.26,-0.4
7652,2009,873.640015,15208834,60.92,3.26,-0.4
7653,2009,872.809998,15208834,60.92,3.26,-0.4
7654,2009,877.52002,15208834,60.92,3.26,-0.4
7655,2009,907.23999,15208834,60.92,3.26,-0.4
7656,2009,903.799988,15208834,60.92,3.26,-0.4
7657,2009,919.530029,15208834,60.92,3.26,-0.4
7658,2009,907.390015,15208834,60.92,3.26,-0.4
7659,2009,929.22998,15208834,60.92,3.26,-0.4
7660,2009,909.23999,15208834,60.92,3.26,-0.4
7661,2009,908.349976,15208834,60.92,3.26,-0.4
7662,2009,883.919983,15208834,60.92,3.26,-0.4
7663,2009,893.070007,15208834,60.92,3.26,-0.4
7664,2009,882.880005,15208834,60.92,3.26,-0.4
7665,2009,909.710022,15208834,60.92,3.26,-0.4
7666,2009,908.130005,15208834,60.92,3.26,-0.4
7667,2009,903.469971,15208834,60.92,3.26,-0.4
7668,2009,888.330017,15208834,60.92,3.26,-0.4
7669,2009,887,15208834,60.92,3.26,-0.4
7670,2009,910.330017,15208834,60.92,3.26,-0.4
7671,2009,893.059998,15208834,60.92,3.26,-0.4
7672,2009,906.830017,15208834,60.92,3.26,-0.4
7673,2009,919.140015,15208834,60.92,3.26,-0.4
7674,2009,942.869995,15208834,60.92,3.26,-0.4
7675,2009,944.73999,15208834,60.92,3.26,-0.4
7676,2009,931.76001,15208834,60.92,3.26,-0.4
7677,2009,942.460022,15208834,60.92,3.26,-0.4
7678,2009,940.090027,15208834,60.92,3.26,-0.4
7679,2009,939.140015,15208834,60.92,3.26,-0.4
7680,2009,942.429993,15208834,60.92,3.26,-0.4
7681,2009,939.150024,15208834,60.92,3.26,-0.4
7682,2009,944.890015,15208834,60.92,3.26,-0.4
7683,2009,946.210022,15208834,60.92,3.26,-0.4
7684,2009,923.719971,15208834,60.92,3.26,-0.4
7685,2009,911.969971,15208834,60.92,3.26,-0.4
7686,2009,910.710022,15208834,60.92,3.26,-0.4
7687,2009,918.369995,15208834,60.92,3.26,-0.4
7688,2009,921.22998,15208834,60.92,3.26,-0.4
7689,2009,893.039978,15208834,60.92,3.26,-0.4
7690,2009,895.099976,15208834,60.92,3.26,-0.4
7691,2009,900.940002,15208834,60.92,3.26,-0.4
7692,2009,920.26001,15208834,60.92,3.26,-0.4
7693,2009,918.900024,15208834,60.92,3.26,-0.4
7694,2009,927.22998,15208834,60.92,3.26,-0.4
7695,2009,919.320007,15208834,60.92,3.26,-0.4
7696,2009,923.330017,15208834,60.92,3.26,-0.4
7697,2009,896.419983,15208834,60.92,3.26,-0.4
7698,2009,898.719971,15208834,60.92,3.26,-0.4
7699,2009,881.030029,15208834,60.92,3.26,-0.4
7700,2009,879.559998,15208834,60.92,3.26,-0.4
7701,2009,882.679993,15208834,60.92,3.26,-0.4
7702,2009,879.130005,15208834,60.92,3.26,-0.4
7703,2009,901.049988,15208834,60.92,3.26,-0.4
7704,2009,905.840027,15208834,60.92,3.26,-0.4
7705,2009,932.679993,15208834,60.92,3.26,-0.4
7706,2009,940.73999,15208834,60.92,3.26,-0.4
7707,2009,940.380005,15208834,60.92,3.26,-0.4
7708,2009,951.130005,15208834,60.92,3.26,-0.4
7709,2009,954.580017,15208834,60.92,3.26,-0.4
7710,2009,954.070007,15208834,60.92,3.26,-0.4
7711,2009,976.289978,15208834,60.92,3.26,-0.4
7712,2009,979.26001,15208834,60.92,3.26,-0.4
7713,2009,982.179993,15208834,60.92,3.26,-0.4
7714,2009,979.619995,15208834,60.92,3.26,-0.4
7715,2009,975.150024,15208834,60.92,3.26,-0.4
7716,2009,986.75,15208834,60.92,3.26,-0.4
7717,2009,987.47998,15208834,60.92,3.26,-0.4
7718,2009,1002.630005,15208834,60.92,3.26,-0.4
7719,2009,1005.650024,15208834,60.92,3.26,-0.4
7720,2009,1002.719971,15208834,60.92,3.26,-0.4
7721,2009,997.080017,15208834,60.92,3.26,-0.4
7722,2009,1010.47998,15208834,60.92,3.26,-0.4
7723,2009,1007.099976,15208834,60.92,3.26,-0.4
