index,year,s&p_closing_prices,real_us_gdp,s&p_eps,average_10y_yield,average_annual_inflation
2529,1989,275.309998,9095857.788,46.81,8.49,4.8
2530,1989,279.429993,9095857.788,46.81,8.49,4.8
2531,1989,280.01001,9095857.788,46.81,8.49,4.8
2532,1989,280.670013,9095857.788,46.81,8.49,4.8
2533,1989,280.980011,9095857.788,46.81,8.49,4.8
2534,1989,280.380005,9095857.788,46.81,8.49,4.8
2535,1989,282.01001,9095857.788,46.81,8.49,4.8
2536,1989,283.170013,9095857.788,46.81,8.49,4.8
2537,1989,283.869995,9095857.788,46.81,8.49,4.8
2538,1989,284.140015,9095857.788,46.81,8.49,4.8
2539,1989,283.549988,9095857.788,46.81,8.49,4.8
2540,1989,286.529999,9095857.788,46.81,8.49,4.8
2541,1989,286.910004,9095857.788,46.81,8.49,4.8
2542,1989,286.630005,9095857.788,46.81,8.49,4.8
2543,1989,284.5,9095857.788,46.81,8.49,4.8
2544,1989,288.48999,9095857.788,46.81,8.49,4.8
2545,1989,289.140015,9095857.788,46.81,8.49,4.8
2546,1989,291.690002,9095857.788,46.81,8.49,4.8
2547,1989,293.820007,9095857.788,46.81,8.49,4.8
2548,1989,294.98999,9095857.788,46.81,8.49,4.8
2549,1989,297.470001,9095857.788,46.81,8.49,4.8
2550,1989,297.089996,9095857.788,46.81,8.49,4.8
2551,1989,296.839996,9095857.788,46.81,8.49,4.8
2552,1989,296.970001,9095857.788,46.81,8.49,4.8
2553,1989,296.040009,9095857.788,46.81,8.49,4.8
2554,1989,299.630005,9095857.788,46.81,8.49,4.8
2555,1989,298.649994,9095857.788,46.81,8.49,4.8
2556,1989,296.059998,9095857.788,46.81,8.49,4.8
2557,1989,292.019989,9095857.788,46.81,8.49,4.8
2558,1989,292.540009,9095857.788,46.81,8.49,4.8
2559,1989,291.809998,9095857.788,46.81,8.49,4.8
2560,1989,294.23999,9095857.788,46.81,8.49,4.8
2561,1989,294.809998,9095857.788,46.81,8.49,4.8
2562,1989,296.76001,9095857.788,46.81,8.49,4.8
2563,1989,295.980011,9095857.788,46.81,8.49,4.8
2564,1989,290.910004,9095857.788,46.81,8.49,4.8
2565,1989,292.049988,9095857.788,46.81,8.49,4.8
2566,1989,287.130005,9095857.788,46.81,8.49,4.8
2567,1989,287.820007,9095857.788,46.81,8.49,4.8
2568,1989,288.859985,9095857.788,46.81,8.49,4.8
2569,1989,287.109985,9095857.788,46.81,8.49,4.8
2570,1989,289.950012,9095857.788,46.81,8.49,4.8
2571,1989,291.179993,9095857.788,46.81,8.49,4.8
2572,1989,294.809998,9095857.788,46.81,8.49,4.8
2573,1989,293.869995,9095857.788,46.81,8.49,4.8
2574,1989,294.079987,9095857.788,46.81,8.49,4.8
2575,1989,293.929993,9095857.788,46.81,8.49,4.8
2576,1989,292.880005,9095857.788,46.81,8.49,4.8
2577,1989,295.320007,9095857.788,46.81,8.49,4.8
2578,1989,295.140015,9095857.788,46.81,8.49,4.8
2579,1989,296.670013,9095857.788,46.81,8.49,4.8
2580,1989,299.440002,9095857.788,46.81,8.49,4.8
2581,1989,292.690002,9095857.788,46.81,8.49,4.8
2582,1989,289.920013,9095857.788,46.81,8.49,4.8
2583,1989,291.329987,9095857.788,46.81,8.49,4.8
2584,1989,290.48999,9095857.788,46.81,8.49,4.8
2585,1989,288.980011,9095857.788,46.81,8.49,4.8
2586,1989,290.570007,9095857.788,46.81,8.49,4.8
2587,1989,291.589996,9095857.788,46.81,8.49,4.8
2588,1989,292.350006,9095857.788,46.81,8.49,4.8
2589,1989,292.519989,9095857.788,46.81,8.49,4.8
2590,1989,294.869995,9095857.788,46.81,8.49,4.8
2591,1989,296.390015,9095857.788,46.81,8.49,4.8
2592,1989,295.309998,9095857.788,46.81,8.49,4.8
2593,1989,296.23999,9095857.788,46.81,8.49,4.8
2594,1989,295.290009,9095857.788,46.81,8.49,4.8
2595,1989,297.160004,9095857.788,46.81,8.49,4.8
2596,1989,297.109985,9095857.788,46.81,8.49,4.8
2597,1989,298.48999,9095857.788,46.81,8.49,4.8
2598,1989,298.98999,9095857.788,46.81,8.49,4.8
2599,1989,296.399994,9095857.788,46.81,8.49,4.8
2600,1989,301.359985,9095857.788,46.81,8.49,4.8
2601,1989,301.720001,9095857.788,46.81,8.49,4.8
2602,1989,306.019989,9095857.788,46.81,8.49,4.8
2603,1989,307.149994,9095857.788,46.81,8.49,4.8
2604,1989,306.190002,9095857.788,46.81,8.49,4.8
2605,1989,309.609985,9095857.788,46.81,8.49,4.8
2606,1989,308.690002,9095857.788,46.81,8.49,4.8
2607,1989,306.75,9095857.788,46.81,8.49,4.8
2608,1989,306.929993,9095857.788,46.81,8.49,4.8
2609,1989,309.579987,9095857.788,46.81,8.49,4.8
2610,1989,309.640015,9095857.788,46.81,8.49,4.8
2611,1989,309.119995,9095857.788,46.81,8.49,4.8
2612,1989,308.119995,9095857.788,46.81,8.49,4.8
2613,1989,308.160004,9095857.788,46.81,8.49,4.8
2614,1989,307.769989,9095857.788,46.81,8.49,4.8
2615,1989,307.609985,9095857.788,46.81,8.49,4.8
2616,1989,306,9095857.788,46.81,8.49,4.8
2617,1989,305.190002,9095857.788,46.81,8.49,4.8
2618,1989,305.799988,9095857.788,46.81,8.49,4.8
2619,1989,306.950012,9095857.788,46.81,8.49,4.8
2620,1989,313.839996,9095857.788,46.81,8.49,4.8
2621,1989,316.160004,9095857.788,46.81,8.49,4.8
2622,1989,315.279999,9095857.788,46.81,8.49,4.8
2623,1989,317.480011,9095857.788,46.81,8.49,4.8
2624,1989,317.970001,9095857.788,46.81,8.49,4.8
2625,1989,321.23999,9095857.788,46.81,8.49,4.8
2626,1989,321.980011,9095857.788,46.81,8.49,4.8
2627,1989,318.320007,9095857.788,46.81,8.49,4.8
2628,1989,319.140015,9095857.788,46.81,8.49,4.8
2629,1989,319.170013,9095857.788,46.81,8.49,4.8
2630,1989,321.589996,9095857.788,46.81,8.49,4.8
2631,1989,319.049988,9095857.788,46.81,8.49,4.8
2632,1989,320.519989,9095857.788,46.81,8.49,4.8
2633,1989,321.970001,9095857.788,46.81,8.49,4.8
2634,1989,325.519989,9095857.788,46.81,8.49,4.8
2635,1989,322.029999,9095857.788,46.81,8.49,4.8
2636,1989,324.23999,9095857.788,46.81,8.49,4.8
2637,1989,326.950012,9095857.788,46.81,8.49,4.8
2638,1989,326.75,9095857.788,46.81,8.49,4.8
2639,1989,326.690002,9095857.788,46.81,8.49,4.8
2640,1989,326.23999,9095857.788,46.81,8.49,4.8
2641,1989,323.910004,9095857.788,46.81,8.49,4.8
2642,1989,323.829987,9095857.788,46.81,8.49,4.8
2643,1989,320.079987,9095857.788,46.81,8.49,4.8
2644,1989,321.350006,9095857.788,46.81,8.49,4.8
2645,1989,321.890015,9095857.788,46.81,8.49,4.8
2646,1989,321.25,9095857.788,46.81,8.49,4.8
2647,1989,320.480011,9095857.788,46.81,8.49,4.8
2648,1989,322.320007,9095857.788,46.81,8.49,4.8
2649,1989,328,9095857.788,46.81,8.49,4.8
2650,1989,326.600006,9095857.788,46.81,8.49,4.8
2651,1989,328.440002,9095857.788,46.81,8.49,4.8
2652,1989,325.809998,9095857.788,46.81,8.49,4.8
2653,1989,319.679993,9095857.788,46.81,8.49,4.8
2654,1989,317.980011,9095857.788,46.81,8.49,4.8
2655,1989,319.230011,9095857.788,46.81,8.49,4.8
2656,1989,320.640015,9095857.788,46.81,8.49,4.8
2657,1989,321.549988,9095857.788,46.81,8.49,4.8
2658,1989,324.910004,9095857.788,46.81,8.49,4.8
2659,1989,327.070007,9095857.788,46.81,8.49,4.8
2660,1989,328.779999,9095857.788,46.81,8.49,4.8
2661,1989,329.809998,9095857.788,46.81,8.49,4.8
2662,1989,329.950012,9095857.788,46.81,8.49,4.8
2663,1989,331.839996,9095857.788,46.81,8.49,4.8
2664,1989,332.440002,9095857.788,46.81,8.49,4.8
2665,1989,331.350006,9095857.788,46.81,8.49,4.8
2666,1989,335.730011,9095857.788,46.81,8.49,4.8
2667,1989,333.51001,9095857.788,46.81,8.49,4.8
2668,1989,335.899994,9095857.788,46.81,8.49,4.8
2669,1989,333.670013,9095857.788,46.81,8.49,4.8
2670,1989,333.880005,9095857.788,46.81,8.49,4.8
2671,1989,338.049988,9095857.788,46.81,8.49,4.8
2672,1989,341.98999,9095857.788,46.81,8.49,4.8
2673,1989,342.149994,9095857.788,46.81,8.49,4.8
2674,1989,346.079987,9095857.788,46.81,8.49,4.8
2675,1989,343.75,9095857.788,46.81,8.49,4.8
2676,1989,344.339996,9095857.788,46.81,8.49,4.8
2677,1989,344.73999,9095857.788,46.81,8.49,4.8
2678,1989,343.920013,9095857.788,46.81,8.49,4.8
2679,1989,349.410004,9095857.788,46.81,8.49,4.8
2680,1989,349.350006,9095857.788,46.81,8.49,4.8
2681,1989,346.940002,9095857.788,46.81,8.49,4.8
2682,1989,348.25,9095857.788,46.81,8.49,4.8
2683,1989,344.73999,9095857.788,46.81,8.49,4.8
2684,1989,343.059998,9095857.788,46.81,8.49,4.8
2685,1989,344.709991,9095857.788,46.81,8.49,4.8
2686,1989,345.660004,9095857.788,46.81,8.49,4.8
2687,1989,344.450012,9095857.788,46.81,8.49,4.8
2688,1989,346.029999,9095857.788,46.81,8.49,4.8
2689,1989,340.670013,9095857.788,46.81,8.49,4.8
2690,1989,341.190002,9095857.788,46.81,8.49,4.8
2691,1989,344.700012,9095857.788,46.81,8.49,4.8
2692,1989,351.519989,9095857.788,46.81,8.49,4.8
2693,1989,350.519989,9095857.788,46.81,8.49,4.8
